"seq_name" "geno" "corv_abd" "corv_div" "corv_rich"
"336" "852_1010033" "GW-9952" 24 1.467733929 7
"337" "852_1010036" "GW-9953" 24 0.847039639 6
"338" "852_1010042" "GW-9955" 16 0.601923972 3
"339" "852_1010045" "GW-9956" 22 1.126626559 6
"340" "852_1010057" "GW-9964" 18 0.973648923 4
"341" "852_1010081" "GW-10986" 11.5 0.574529848 2.5
"342" "852_1010102" "GW-11001" 34 0.298435813 2
"343" "852_1010108" "GW-11016" 21 0.598269589 2
"344" "852_1010135" "GW-11033" 3 0.636514168 2
"345" "852_1010138" "GW-11034" 10 1.088899975 4
"346" "852_1010141" "GW-11035" 5.5 0.924760867 3
"347" "852_1010156" "GW-11046" 32 0.447062054 3
"348" "852_1010162" "GW-11049" 8 0.974314753 3
"349" "852_1010177" "BLCG-28-1" 11 0.916464886 3
"350" "852_1010180" "CHWH-27-1" 14 1.593424237 6
"351" "852_1010195" "CMBF-28-1" 20 1.224068338 4
"352" "852_1010204" "CNYH-28-3" 11 0.600166073 3
"353" "852_1014926" "CMBF-28-2" 13 0.53596105 3
"354" "852_1014938" "DENA-17-1" 25 1.118440219 4
"355" "852_1014959" "DEND-17-2" 22 0.838727853 5
"356" "852_1014968" "FNYI-28-4" 19 0.897622185 4
"357" "852_1014977" "GLCB-26-3" 38 0.979527101 5
"358" "852_1014983" "HARB-26-1" 18 0.827738157 3
"359" "852_1014989" "HARB-26-3" 6 0.636514168 2
"360" "852_1015001" "HOMA-21-2" 32 1.077022249 5
"361" "852_1015004" "HOMA-21-4" 18 0.425848449 3
"362" "852_1015013" "HOMC-21-1" 13 1.585770835 6
"363" "852_1015019" "HOMC-21-3" 19 1.548489351 5
"364" "852_1015028" "HOMD-21-2" 6 1.242453325 4
"365" "852_1015031" "HOMD-21-3" 9.5 0.836953246 3.5
"366" "852_1015040" "HOPF-27-5" 10 0 1
"367" "852_1015058" "KLNA-20-3" 15.5 1.328849179 5
"368" "852_1015061" "KLNA-20-5" 35.5 0.649695231 4
"369" "852_1015076" "KLNE-20-4" 22 1.011058163 5
"370" "852_1015106" "KTMB-12-3" 3 0 1
