"seq_name" "geno" "clats_abd" "clats_div" "clats_rich"
"285" "852_1003673" "GW-10072" 25 1.505680778 6
"286" "852_1003685" "GW-11022" 8 1.559581156 5
"287" "852_1003688" "GW-11039" 17 1.430349831 5
"288" "852_1008836" "BESC-11" 23 1.546407413 6
"289" "852_1008839" "BESC-12" 28 1.698997051 8
"290" "852_1008842" "BESC-17" 16 1.06095815 4
"291" "852_1008845" "BESC-18" 25 1.24193775 5
"292" "852_1008848" "BESC-20" 18 1.329661349 5
"293" "852_1008857" "BESC-28" 20 0.826065187 4
"294" "852_1008860" "BESC-29" 34 1.796564174 7.5
"295" "852_1008872" "BESC-35" 15 1.415369135 5
"296" "852_1008875" "BESC-36" 18 0.827738157 3
"297" "852_1008881" "BESC-48" 48 0.932501565 6
"298" "852_1008887" "BESC-54" 14 0.991138897 4
"299" "852_1008890" "BESC-56" 34 1.288953984 7
"300" "852_1008893" "BESC-59" 5 1.054920168 3
"301" "852_1008896" "BESC-61" 39 1.084043738 6
"302" "852_1008899" "BESC-65" 21 1.794404994 7
"303" "852_1008905" "BESC-69" 7 0.955699891 3
"304" "852_1008908" "BESC-71" 13 1.20479331 4
"305" "852_1008914" "BESC-76" 9 1.310783678 4
"306" "852_1008917" "BESC-77" 22 1.6405028 7
"307" "852_1008920" "BESC-78" 13 1.56495725 5
"308" "852_1008923" "BESC-83" 26 1.443707642 7
"309" "852_1008932" "BESC-92" 49 1.119005066 6
"310" "852_1008947" "BESC-108" 16 1.21231388 4
"311" "852_1008953" "BESC-121" 12 2.094729048 9
"312" "852_1008956" "BESC-123" 21 1.706770659 8
"313" "852_1008959" "BESC-127" 8 1.559581156 5
"314" "852_1008962" "BESC-128" 19 0.62365485 2
"315" "852_1008968" "BESC-141" 11 1.294545166 4
"316" "852_1008977" "BESC-146" 27 1.568508636 6
"317" "852_1008986" "BESC-156" 12 1.473502385 5
"318" "852_1008989" "BESC-159" 6 1.011404265 3
"319" "852_1008995" "BESC-161" 9 0.936888308 3
"320" "852_1008998" "BESC-165" 22 0.836774226 3
"321" "852_1009001" "BESC-167" 10 1.557113098 5
"322" "852_1009010" "BESC-178" 28 1.487638656 7
"323" "852_1009019" "BESC-187" 38 1.484417015 10
"324" "852_1009028" "BESC-198" 3 0.636514168 2
"325" "852_1009031" "BESC-200" 16 1.489848796 5
"326" "852_1009034" "BESC-202" 11 0.759547391 3
"327" "852_1009040" "BESC-216" 36 0.915365149 5
"328" "852_1009043" "BESC-217" 38 0.775412039 4
"329" "852_1009052" "BESC-228" 12 0.887694276 3
"330" "852_1009055" "BESC-235" 29 0.298758058 3
"331" "852_1009061" "BESC-238" 10 0.897945725 3
"332" "852_1009070" "BESC-247" 19 1.309755862 6
"333" "852_1009073" "BESC-248" 7 1.549826046 5
"334" "852_1009079" "BESC-253" 15 1.182223002 4
"335" "852_1009085" "BESC-256" 42 0.672496472 4
"336" "852_1009088" "BESC-257" 4 0.693147181 2
"337" "852_1009094" "BESC-264" 23 1.730238046 6
"338" "852_1009100" "BESC-270" 3 1.098612289 3
"339" "852_1009112" "BESC-294" 19.66666667 1.469444757 5
"340" "852_1009115" "BESC-295" 24 1.444723422 5
"341" "852_1009121" "BESC-304" 8 1.039720771 3
"342" "852_1009124" "BESC-305" 8 1.494175138 5
"343" "852_1009127" "BESC-307" 45 0.661682247 6
"344" "852_1009136" "BESC-311" 15 1.194453006 4
"345" "852_1009139" "BESC-312" 21 0.99631385 4
"346" "852_1009142" "BESC-322" 44 0.546803791 3
"347" "852_1009151" "BESC-339" 7 0.955699891 3
"348" "852_1009154" "BESC-341" 12 1.265001375 4
"349" "852_1009160" "BESC-352" 10 1.279854226 4
"350" "852_1009172" "BESC-357" 9 1.303092404 5
"351" "852_1009178" "BESC-359" 13 1.351681195 4
"352" "852_1009181" "BESC-361" 5 1.33217904 4
"353" "852_1009187" "BESC-364" 20 1.366158848 7
"354" "852_1009193" "BESC-373" 11 1.468139939 5
"355" "852_1009196" "BESC-374" 7 1.277034259 4
"356" "852_1009205" "BESC-385" 17 1.64591683 6
"357" "852_1009208" "BESC-386" 12 1.236684869 4
"358" "852_1009211" "BESC-393" 15 1.489750319 5
"359" "852_1009214" "BESC-398" 24 0.835894813 4
"360" "852_1009220" "BESC-403" 30 1.002595354 4
"361" "852_1009232" "BESC-410" 13 1.20479331 4
"362" "852_1009235" "BESC-413" 21 0.878751351 3
"363" "852_1009238" "BESC-421" 32.66666667 1.12931112 5.666666667
"364" "852_1009241" "BESC-423" 24 1.455997447 6
"365" "852_1009244" "BESC-436" 25 0.849268726 5
"366" "852_1009247" "BESC-425" 16 1.461472129 5
"367" "852_1009256" "BESC-450" 26 1.423692247 6
"368" "852_1009262" "BESC-455" 48 0.273573794 3
"369" "852_1009268" "BESC-468" 3 1.098612289 3
"370" "852_1009271" "BESC-470" 10 1.504788284 5
"371" "852_1009280" "BESC-809" 16 0.822265337 4
"372" "852_1009283" "BESC-813" 6 0.636514168 2
"373" "852_1009292" "BESC-824" 24 1.592115482 6
"374" "852_1009307" "BESC-840" 19 1.666875697 6
"375" "852_1009319" "BESC-847" 14 1.33166431 5
"376" "852_1009337" "BESC-858" 20 1.335085165 4
"377" "852_1009343" "BESC-864" 6 1.011404265 3
"378" "852_1009346" "BESC-872" 59 0.403106378 5
"379" "852_1009349" "BESC-875" 6 1.791759469 6
"380" "852_1009352" "BESC-877" 58 0.26038568 4
"381" "852_1009355" "BESC-881" 33 0.585164682 4
"382" "852_1009361" "BESC-884" 24 0.979983164 4
"383" "852_1009364" "BESC-899" 8 1.213007566 4
"384" "852_1009367" "BESC-907" 14 0.655975732 3
"385" "852_1009643" "GW-7977" 13 1.306106609 4
"386" "852_1009652" "GW-7985" 16 1.840748729 7
"387" "852_1009658" "GW-7988" 18 1.889159164 8
"388" "852_1009661" "GW-7989" 17 1.232405223 4
"389" "852_1009664" "GW-7990" 17 1.430349831 5
"390" "852_1009667" "GW-7991" 1 0 1
"391" "852_1009670" "GW-7992" 17 1.334592953 5
"392" "852_1009676" "GW-7994" 19 0.733541749 4
"393" "852_1009685" "GW-9580" 34 0.786758217 5
"394" "852_1009688" "GW-9581" 10 0.943348392 3
"395" "852_1009694" "GW-9587" 20 1.567180855 5
"396" "852_1009700" "GW-9595" 24 1.375343336 5
"397" "852_1009703" "GW-9596" 9 1.214889654 4
"398" "852_1009706" "GW-9598" 2 0.693147181 2
"399" "852_1009709" "GW-9758" 12 1.704551445 6
"400" "852_1009721" "GW-9763" 16 1.44023475 6
"401" "852_1009727" "GW-9768" 27 1.417326798 5
"402" "852_1009736" "GW-9772" 11 0.585952618 2
"403" "852_1009745" "GW-9776" 18 0.556646904 3
"404" "852_1009751" "GW-9778" 5 0.950270539 3
"405" "852_1009754" "GW-9780" 10 1.16828245 4
"406" "852_1009763" "GW-9785" 7 1.153741943 4
"407" "852_1009769" "GW-9787" 20 1.227529411 6
"408" "852_1009787" "GW-9796" 24 1.316372569 5
"409" "852_1009793" "GW-9799" 21 1.524425988 7
"410" "852_1009799" "GW-9804" 83 0.595305132 7
"411" "852_1009802" "GW-9805" 16 1.331660287 5
"412" "852_1009814" "GW-9811" 14 1.809514256 7
"413" "852_1009817" "GW-9813" 9 0.683738906 3
"414" "852_1009823" "GW-9815" 16 1.043353427 3
"415" "852_1009826" "GW-9816" 17 1.005387433 4
"416" "852_1009829" "GW-9817" 8 1.213007566 4
"417" "852_1009847" "GW-9828" 22 1.400661763 5
"418" "852_1009856" "GW-9831" 8 1.320888343 4
"419" "852_1009859" "GW-9832" 17 1.283172648 4
"420" "852_1009862" "GW-9833" 10 1.609437912 6
"421" "852_1009865" "GW-9835" 12 1.077556327 3
"422" "852_1009868" "GW-9837" 22 1.270761159 5
"423" "852_1009871" "GW-9838" 35 0.606869304 4
"424" "852_1009880" "GW-9842" 18 1.798105503 7
"425" "852_1009883" "GW-9844" 16 1.127483235 5
"426" "852_1009889" "GW-9846" 15 0.500402424 2
"427" "852_1009892" "GW-9847" 8 1.213007566 4
"428" "852_1009895" "GW-9848" 31 1.117021812 5
"429" "852_1009904" "GW-9852" 27 1.133172587 5
"430" "852_1009907" "GW-9853" 3 1.098612289 3
"431" "852_1009910" "GW-9855" 12 1.286057337 4
"432" "852_1009919" "GW-9858" 21 1.277034259 4
"433" "852_1009925" "GW-9861" 25 1.267794637 5
"434" "852_1009952" "GW-9875" 15 1.586784708 5
"435" "852_1009961" "GW-9884" 32 0.775210767 6
"436" "852_1009964" "GW-9887" 21 0.501046914 3
"437" "852_1009970" "GW-9889" 8 1.320888343 4
"438" "852_1009973" "GW-9890" 8 1.386294361 4
"439" "852_1009976" "GW-9891" 20 0.708346578 4
"440" "852_1009979" "GW-9892" 3 0 1
"441" "852_1009988" "GW-9902" 34 0.672396262 4
"442" "852_1009991" "GW-9903" 22 1.146595837 5
"443" "852_1010000" "GW-9907" 11 0.916464886 3
"444" "852_1010003" "GW-9908" 10 1.029653014 3
"445" "852_1010012" "GW-9914" 15 1.432213904 5
"446" "852_1010021" "GW-9920" 12 1.424129917 5
"447" "852_1010024" "GW-9921" 10 1.609437912 6
"448" "852_1010027" "GW-9947" 38 1.396520866 6
"449" "852_1010063" "GW-9968" 45 0.91816561 7
"450" "852_1010066" "GW-10955" 31 1.190817168 5
"451" "852_1010072" "GW-10982" 8 0 1
"452" "852_1010078" "GW-10985" 8 0.562335145 2
"453" "852_1010093" "GW-10995" 18 1.270958607 6
"454" "852_1010102" "GW-11001" 14 1.369039178 5
"455" "852_1010108" "GW-11016" 10 2.025326221 8
"456" "852_1010120" "GW-11025" 24 1.651086248 6
"457" "852_1010123" "GW-11026" 17 1.660779862 6
"458" "852_1010126" "GW-11027" 6 1.011404265 3
"459" "852_1010132" "GW-11032" 16 1.700164942 6
